position,player_name
1,Fernando Mendoza
2,David Bailey
3,Arvell Reese
4,Jeremiyah Love
5,Caleb Downs
6,Sonny Styles
7,Carnell Tate
8,Rueben Bain Jr.
9,Jordyn Tyson
10,Mansoor Delane
11,Francis Mauigoa
12,Kadyn Proctor
13,Makai Lemon
14,Spencer Fano
15,Kenyon Sadiq
16,Omar Cooper Jr.
17,Monroe Freeling
18,Dillon Thieneman
19,Emmanuel McNeil-Warren
20,Denzel Boston
21,Olaivavega Ioane
22,Peter Woods
23,Blake Miller
24,Jermod McCoy
25,Zion Young
26,Keldric Faulk
27,Max Iheanachor
28,Christen Miller
29,Colton Hood
30,Ty Simpson
31,Akheem Mesidor
32,Jadarian Price
